P_NAME,P_HABITABLE,P_ESI,P_MASS_y,P_RADIUS_y,P_TEMP_EQUIL_y,P_PERIOD_y,P_TEXTURE
OGLE-2016-BLG-1227L b,0,-4.31E-16,250,13.9,0,0,Gas Giant
Kepler-276 c,0,0.11606437,16.6,2.9,541.98483,31.884,Neptunian
Kepler-829 b,0,-0.018070074,5.1,2.11,1001.1171,6.8833756,Super-Earth
K2-283 b,0,-0.490758484,12.2,3.52,1104.4682,1.921036,Neptunian
Kepler-477 b,0,0.152486563,4.94,2.07,681.30334,11.119907,Super-Earth
TOI-1260 c,0,0.026030668,13.2,2.76,595.75408,7.493134,Neptunian
HD 149143 b,0,-1.473990795,422.7139,13.6,1353.4874,4.07182,Gas Giant
HD 99492 b,0,-0.53340341,25.5,5.44,559.40675,17.0503,Neptunian
nu Oph c,0,0.623347883,7838.3235,12,313.45519,3180.6,Gas Giant
75 Cet b,0,-0.943471932,787.89662,13.3,493.87889,696.62,Gas Giant
gam Lib b,0,-1.312304079,357.87479,13.7,659.97527,414.88,Gas Giant
HD 113337 c,0,-0.754663575,6299.6769,12.1,139.29974,5429.9348,Gas Giant
HD 28109 c,0,-0.389479589,7.943,4.23,596.25222,56.00819,Unknown
TOI-238 b,0,0.215834554,3.4,1.402,1331.9858,1.2730991,Terrestrial
TOI-4562 b,0,-0.107259553,732,12.53,321.83958,225.11781,Gas Giant
HIP 12961 b,0,0.879140624,114.4188,13.2,285.48886,57.435,Gas Giant
HD 11755 b,0,-1.390729709,1789.3829,12.8,848.4906,433.70001,Gas Giant
HD 29985 b,0,-1.449115692,1739.4749,12.8,42.591788,20608.14,Gas Giant
HD 115954 b,0,-0.491312211,2685.65,12.6,147.90128,3700,Gas Giant
HIP 97233 b,0,0.260816569,6098.1736,12.1,313.86461,1062.2651,Gas Giant
HD 95872 b,0,-1.288381474,1188.6842,13,97.633371,4375,Gas Giant
OGLE-2015-BLG-0966L b,0,-4.31E-16,21,4.86,0,0,Neptunian
TOI-1470 b,0,0.119666355,7.32,2.18,660.57708,2.527093,Super-Earth
V1298 Tau b,0,-1.108369583,203.41018,10.27,609.64599,24.1396,Gas Giant
HD 22946 d,0,0.267635516,26.57,2.607,528.26352,47.42489,Neptunian
WASP-70 A b,0,-1.451595791,187.512,13.047,1269.3885,3.7130203,Gas Giant
HAT-P-18 b,0,-1.290617821,62.61,11.153,776.16119,5.508023,Gas Giant
HD 86226 c,0,-0.059393092,7.25,2.16,1199.0817,3.98442,Super-Earth
XO-4 b,0,-1.490517424,451.3186,14.011,1475.6144,4.12508,Gas Giant
HATS-6 b,0,-1.251893305,101.38777,11.187,710.50239,3.3252725,Gas Giant
K2-121 b,0,-0.963807915,44.1,7.52,659.46748,5.1857539,Neptunian
HR 5183 b,0,-1.35107272,1052.012,13.1,71.282395,27000,Gas Giant
K2-107 b,0,-1.547361366,266.9772,15.98,1526.6972,3.313959,Gas Giant
WASP-13 b,0,-1.478172745,114.4188,13.675,1413.9573,4.35301,Gas Giant
TOI-2076 b,0,-0.088894276,6.89,2.518,764.6409,10.35509,Unknown
GJ 436 b,0,-0.382136275,22.1,4.17,598.93765,2.6438831,Neptunian
GJ 357 c,0,2.096796563,3.4,1.66,366.38256,9.1247,Super-Earth
WASP-48 b,0,-1.571249236,254.264,16.814,1916.7618,2.14363,Gas Giant
Kepler-18 d,0,-0.965795788,16.4,6.98,730.94703,14.85888,Neptunian
WASP-132 c,0,0.052681427,37.35,1.85,1337.683,1.011534,Neptunian
WASP-82 b,0,-1.5999941,371.8611,18.159,1903.0314,2.70579,Gas Giant
WASP-36 b,0,-1.518092866,750.39663,14.874,1557.8144,1.537366,Gas Giant
WASP-15 b,0,-1.542178031,171.6282,15.805,1486.1565,3.7521,Gas Giant
TOI-451 c,0,-0.299374506,9.8,3.1,796.434,9.192522,Unknown
HAT-P-2 c,0,-0.98962983,3400.764,12.4,121.90925,8500,Gas Giant
WASP-181 b,0,-1.451253224,95.03117,13.271,1124.7857,4.5195064,Gas Giant
TOI-451 d,0,-0.444383335,15.6,4.07,657.37963,16.364988,Neptunian
WASP-133 b,0,-1.478326785,368.6828,13.563,1631.735,2.176423,Gas Giant
55 Cnc e,0,0.033300116,7.99,1.875,1830.0298,0.7365474,Super-Earth
HAT-P-69 b,0,-1.611245841,1137.8314,18.786,1769.3484,4.7869491,Gas Giant
HAT-P-1 b,0,-1.506231691,166.86075,14.785,1229.6266,4.4652998,Gas Giant
WASP-24 b,0,-1.53532031,394.1092,15.468,1613.035,2.34121,Gas Giant
WASP-41 c,0,0.840421266,1010.6994,13.1,218.90496,421,Gas Giant
HAT-P-2 b,0,-1.441018178,2866.8122,12.663,1300.3171,5.6335158,Gas Giant
KELT-8 b,0,-1.593439775,209.7678,18.159,1390.9149,3.24406,Gas Giant
HAT-P-36 b,0,-1.502807622,587.41341,14.314,1661.435,1.3273468,Gas Giant
WASP-5 b,0,-1.4267602,502.15,12.184,1620.1487,1.6284279,Gas Giant
HATS-24 b,0,-1.541908205,718.2958,15.637,1842.0916,1.3484978,Gas Giant
TOI-564 b,0,-1.393607864,464.98529,11.433,1569.6743,1.651144,Gas Giant
HATS-30 b,0,-1.456994776,224.38798,13.171,1290.1931,3.1743516,Gas Giant
HAT-P-12 b,0,-1.30765882,67.059,10.749,879.90158,3.2130598,Gas Giant
TOI-481 b,0,-1.3550059,486.2799,11.097,1049.1183,10.33111,Gas Giant
Kepler-435 b,0,-1.665751383,266.97,22.31,1583.4034,8.6001536,Gas Giant
K2-136 d,0,1.463740906,3,1.565,415.17819,25.575,Super-Earth
HD 149026 b,0,-1.205982102,120.7754,8.295,1607.5235,2.87589,Gas Giant
WASP-170 b,0,-1.423633299,508.528,12.285,1299.5254,2.3447802,Gas Giant
Qatar-3 b,0,-1.429673688,1369.8473,12.285,1537.9122,2.5079204,Gas Giant
WASP-18 c,0,-1.228821711,55.2,8.58,1697.4992,2.1558,Gas Giant
KPS-1 b,0,-1.390804958,346.4347,11.545,1267.5747,1.706291,Gas Giant
HAT-P-9 b,0,-1.535558034,238.05467,15.614,1408.6502,3.9228107,Gas Giant
TOI-216.01,0,-0.475768078,177.98391,10.1,434.22907,34.525528,Gas Giant
HATS-42 b,0,-1.542283751,597.5204,15.693,1688.3079,2.292102,Gas Giant
HAT-P-13 c,0,0.81624026,4538.421,12.3,268.61753,446.27,Gas Giant
K2-116 b,0,0.323105028,0.257,0.69,756.62603,4.655411,Terrestrial
TOI-257 b,0,-1.064478168,43.86032,7.163,939.80561,18.38818,Neptunian
